SEASON,TEAM,DRIVERS,RACES,QUALIFYING,RACES,DIFF.
2001,Williams,"J. Montoya, R. Schumacher",17,83.6,54.2,-29.4
2000,Jordan,"H. Frentzen, J. Trulli",17,68.1,41,-27
2022,Ferrari,"C. Leclerc, C. Sainz",11,88.2,66.9,-21.3
2002,Williams,"J. Montoya, R. Schumacher",17,88.6,69.2,-19.4
2002,McLaren,"K. RŠikkšnen, D. Coulthard",17,76.5,57.4,-19.1
2001,McLaren,"D. Coulthard, M. HŠkkinen",17,82.6,65.8,-16.8
2005,BAR,"J. Button, T. Sato, A. Davidson",17,60.5,44,-16.6
2012,McLaren,"J. Button, L. Hamilton",20,81,65,-16
2010,Red Bull,"S. Vettel, M. Webber",19,93.7,78.1,-15.6
2001,Jordan,"H. Frentzen, J. Trulli + 2 others",17,64.8,49.3,-15.5
